ms_name,mz,observed_mm
BTI1,309.1709,903.4123423423424
BTI1,309.1709,925.4162882882883
BTI1,309.1709,881.0952252252252
BTI1,309.1709,859.4044504504504
BTI1,309.1709,616.327248
BTI1,309.1709,599.3007
BTI1,309.1709,594.345306
BTI1,309.1709,578.3713660000001
BTI1,309.1709,572.363364
BTI1,309.1709,575.3007
BTI1,309.1709,493.247606
BTI1,309.1709,534.2741540000001
BTI1,309.1709,308.163624
BTI1,309.1709,291.13707700000003
BTI1,309.1709,286.181682
BTI1,309.1709,276.13741100000004
BTI1,309.1709,270.207742
BTI1,309.1709,267.13707700000003
BTI1,309.1709,248.10556000000003
BTI1,309.1709,264.19974
BTI1,309.1709,245.15513500000003
BTI1,309.1709,230.14968000000002
BTI1,309.1709,226.11053
BTI1,309.1709,225.11579
BTI1,309.1709,154.081812
BTI1,309.1709,143.090841
BTI1,309.1709,135.103871
BTI1,309.1709,931.465993993994
BTI1,309.1709,620.356352
BTI1,309.1709,328.18929
BTI1,309.1709,310.178176
BTI1,309.1709,288.196234
BTI1,309.1709,274.201498
BTI1,309.1709,272.22229400000003
BTI1,309.1709,264.172699
BTI1,309.1709,250.15704900000003
BTI1,309.1709,230.25201500000003
BTI1,309.1709,196.185314
BTI1,309.1709,132.0863495
